name,category,author,price,img_paths
"Essentials of Human Anatomy & Physiology, Global Edition",Medical,Elaine N. Marieb,59.76,dataset/Medical/0000285.jpg
With the End in Mind,Medical,Kathryn Mannix,8.48,dataset/Medical/0000286.jpg
Balanced and Barefoot,Medical,Angela J. Hanscom,11.44,dataset/Medical/0000287.jpg
Dissolving Illusions,Medical,Roman Bystrianyk,24.31,dataset/Medical/0000288.jpg
Lewis's Medical-Surgical Nursing,Medical,Diane Brown,101.85,dataset/Medical/0000289.jpg
Gut,Medical,Giulia Enders,12.31,dataset/Medical/0000290.jpg
The Longevity Paradox,Medical,Steven R. Gundry,16.55,dataset/Medical/0000291.jpg
The Eczema Diet,Medical,Karen Fischer,12.11,dataset/Medical/0000292.jpg
Healing Developmental Trauma,Medical,Laurence Heller,16.54,dataset/Medical/0000293.jpg
Contented Dementia,Medical,Oliver James,14.51,dataset/Medical/0000294.jpg
DBT (R) Skills Manual for Adolescents,Medical,Jill H. Rathus,45.83,dataset/Medical/0000295.jpg
Starving the Anxiety Gremlin for Children Aged 5-9,Medical,Kate Collins-Donnelly,16.66,dataset/Medical/0000296.jpg
The Mind-Gut Connection,Medical,Emeran Mayer,11.66,dataset/Medical/0000297.jpg
Allen Carr's Easy Way for Women to Stop Smoking,Medical,Allen Carr,7.47,dataset/Medical/0000298.jpg
Dibs in Search of Self,Medical,Virginia M. Axline,9.27,dataset/Medical/0000299.jpg
Discovery of the Child,Medical,Maria Montessori,7.8,dataset/Medical/0000300.jpg
"Clinical Handbook of Psychological Disorders, Fifth Edition",Medical,David H. Barlow,68.7,dataset/Medical/0000301.jpg
